glyph_id,page_number,line_number,sura_number,ayah_number,position,min_x,max_x,min_y,max_y
3575,182,10,6,33,1,0,362,1248,1380
3576,182,11,6,33,2,0,1198,1385,1517
3577,182,12,6,33,3,442,1198,1522,1655
3578,182,12,6,34,1,0,442,1522,1655
3579,182,13,6,34,2,0,1198,1660,1793
3580,183,1,6,34,1,0,1198,10,143
3581,183,2,6,34,2,572,1198,148,281
3582,183,2,6,35,1,0,572,148,281
3583,183,3,6,35,2,0,1198,286,418
3584,183,4,6,35,3,0,1198,423,555
3585,183,5,6,35,4,13,1198,560,693
3586,183,6,6,36,1,0,1198,698,830
3587,183,7,6,36,2,601,1198,835,968
3588,183,7,6,37,1,0,601,835,968
3589,183,8,6,37,2,0,1198,973,1105
3590,183,9,6,37,3,532,1198,1110,1243
3591,183,9,6,38,1,0,532,1110,1243
3592,183,10,6,38,2,0,1198,1248,1380
3593,183,11,6,38,3,203,1198,1385,1517
3594,183,11,6,39,1,0,203,1385,1517
3595,183,12,6,39,2,0,1198,1522,1655
3596,183,13,6,39,3,13,1198,1660,1793
3597,184,1,6,40,1,0,1198,10,143
3598,184,2,6,40,2,205,1198,148,281
3599,184,2,6,41,1,0,205,148,281
3600,184,3,6,41,2,0,1198,286,418
3601,184,4,6,41,3,565,1198,423,555
3602,184,4,6,42,1,0,565,423,555
3603,184,5,6,42,2,0,1198,560,693
3604,184,6,6,42,3,841,1198,698,830
3605,184,6,6,43,1,0,841,698,830
3606,184,7,6,43,2,0,1198,835,968
3607,184,8,6,43,3,912,1198,973,1105
3608,184,8,6,44,1,0,912,973,1105
3609,184,9,6,44,2,0,1198,1110,1243
3610,184,10,6,44,3,485,1198,1248,1380
3611,184,10,6,45,1,0,485,1248,1380
3612,184,11,6,45,2,112,1198,1385,1517
3613,184,11,6,46,1,0,112,1385,1517
3614,184,12,6,46,2,0,1198,1522,1655
3615,184,13,6,46,3,0,1198,1660,1793
3616,185,1,6,46,1,116,1198,10,143
3617,185,1,6,47,1,0,116,10,143
3618,185,2,6,47,2,0,1198,148,281
3619,185,3,6,47,3,317,1198,286,418
3620,185,3,6,48,1,0,317,286,418
3621,185,4,6,48,2,0,1198,423,555
3622,185,5,6,48,3,13,1198,560,693
3623,185,6,6,49,1,0,1198,698,830
3624,185,7,6,49,2,875,1198,835,968
3625,185,7,6,50,1,0,875,835,968
3626,185,8,6,50,2,0,1198,973,1105
3627,185,9,6,50,3,0,1198,1110,1243
3628,185,10,6,50,4,449,1198,1248,1380
3629,185,10,6,51,1,0,449,1248,1380
3630,185,11,6,51,2,0,1198,1385,1517
3631,185,12,6,51,3,125,1198,1522,1655
3632,185,12,6,52,1,0,125,1522,1655
3633,185,13,6,52,2,0,1198,1660,1793
3634,186,1,6,52,1,0,1198,10,143
3635,186,2,6,52,2,0,1198,148,281
3636,186,3,6,52,3,586,1198,286,418
3637,186,3,6,53,1,0,586,286,418
3638,186,4,6,53,2,0,1198,423,555
3639,186,5,6,53,3,264,1198,560,693
3640,186,5,6,54,1,0,264,560,693
3641,186,6,6,54,2,0,1198,698,830
3642,186,7,6,54,3,0,1198,835,968
3643,186,8,6,54,4,0,1198,973,1105
3644,186,9,6,54,5,820,1198,1110,1243
3645,186,9,6,55,1,0,820,1110,1243
3646,186,10,6,55,2,700,1198,1248,1380
3647,186,10,6,56,1,0,700,1248,1380
3648,186,11,6,56,2,0,1198,1385,1517
3649,186,12,6,56,3,121,1198,1522,1655
3650,186,12,6,57,1,0,121,1522,1655
3651,186,13,6,57,2,0,1198,1660,1793
3652,187,1,6,57,1,0,1198,10,143
